word,freq
青流,28
很扎心,1
报价,3
肉味,1
小臂,3
洞悉,1
在京举行,1
铅笔盒,1
自掏腰包,2
曾经,124
都还没,3
深山密林,1
关天,1
大门,4
明清,1
那红,1
朱广权,5
附体,2
下以,3
树子,2
放酱,1
天津日报,2
于淳西,2
高压,4
中招,1
白事,1
贫富差距,2
肠肚,1
花瓣,5
测,16
借来,1
华人,8
地旋,1
恶会,1
月末,2
逃走,1
演绎,2
换牙,1
柴火,3
能考,1
中选,1
成让,2
想不通,4
污渍,2
祭奠仪式,2
省市,6
江南,5
两拳,1
经验,155
一定,860
悬殊,4
研祥,1
贪污,1
无助于,2
视力,28
缓刑,2
用词,9
通话记录,14
中应,21
远在天边,2
下水,2
九级,1
皮下,1
珠宝行,11
稳稳,2
教练,3
巨量,2
喷气机,1
集体性,2
留太长,2
多日,4
青少年,7
协信,1
一半,11
加大力度,3
接机,29
解说,18
青协来,2
陈俏,69
当今社会,1
终结,12
海边,6
包围,6
一码,1
孤影,4
细密,1
谎言,5
足迹,1
黄国胜,2
冷雨窝,1
黑心钱,2
生物武器,2
率名,1
转机,24
时及,1
电话会议,1
劝些,1
铺面,6
脑瘫,6
總,3
电线,2
南县,1
金命,1
苟活,3
数百,4
粥,9
分析师,4
午安,2
发死,1
尽人事听,2
洒泪,3
公路,8
嫁接,4
小轿车,4
封神,1
所得税,2
听听,8
季红伟,3
医务,10
山沟,127
工地,1
致力,2
联合会,10
飞奔而来,1
笔尖,2
共人当,1
发生率,2
东北大学,1
生还者,60
社月,1
保有,3
悄然离去,1
更多寶貴,2
受人,2
朦胧,1
猛退,1
杆,2
大粉,1
病房,9
华人华侨,1
正午,4
告诫,2
奔头,1
四次,1
全家人,5
后来,124
温馨,2
防滑,10
上门,1
该起,3
教书,1
故事,159
难以,82
车坏,6
魔爪,1
太胖,1
说十混,1
歇斯底里,1
扣,522
延平路,1
飞马,2
南澳,1
增量,5
罗鑫,1
从容,10
免税店,2
助推器,2
绿茶,3
千年,10
子弟,1
失联人,1
再说,13
交换,6
看球,2
相惜,1
雨伞,4
保留住,2
羡慕,10
西南方,1
停车,9
當地,1
昨天晚上,33
预赛,18
徐倩,2
不讲理,1
关系紧张,1
张艺谋,1
定位系统,4
幸福快乐,1
有钱人,2
茶岛,1
手持,125
队分,2
汉堡,3
迟迟,12
普照大地,1
呼吸,24
鹰潭,1
他们,2587
论文,10
白衣战士,2
一番,9
飞抵,1
今晚报,2
悲鸣,35
挣慢,1
前身,1
谣棍,1
干点,2
影帝,11
大笔,3
香销,1
多种不同,1
用力,29
鹏飞,1
不惮,4
十有八九,2
复,3
美仑美奂,5
吃醋,1
快速通道,42
队共人,1
病院,1
号角,3
安全事故,44
反华,1
操纵杆,1
搜罗,2
被贬,2
满月,2
无趣,1
调转,1
医护人员,117
寄希望于,3
前言不搭后语,1
丽成,1
凣,2
叽喳,2
德华,1
讲绘本,1
有电,1
弹出,7
听松,2
广发基金,1
共和国,2
未时,1
抗美援朝战争,2
天等,1
李贺诗,1
压着,3
走心,1
人付,1
养有,1
卖掉,1
我念,1
解析,19
异常,54
毒物,2
好感,3
阴暗,8
学者,6
卫,5
紫君,1
数年,4
起泪,1
没说,1
叹气,5
驶来,1
一团糟,3
一票,2
基色,1
翼面,5
没敢,2
手抄报,1
爱,979
郵件,2
路口,36
拉升,23
江波,10
最佳,94
顺便去,2
冲上,11
疾控中心,13
橡胶,6
出户者,1
裁员,9
有助,3
期中,2
临近,11
落足,1
超高,1
越离,2
后事之师,4
航空器,1349
特色,4
遇过,1
每日电讯,49
失职,2
伊拉克,1
感太乙,1
圈,16
魂归,10
重开,3
伪造,8
数周,1
衔接,25
读点,1
奋不顾身,1
高差,2
漏夜,3
地处,13
布控,34
揭開,1
太玄,1
暂时性,1
搭载,176
遗愿,6
失联该,6
正义网,1
湖南日报,30
汲取,1
断魂,3
美迈,1
高院,11
电瓶车,6
耗力,1
信誉,1
反擊,8
居住地,52
开化,2
香椿,1
周末,30
曾几何时,1
黄庆华何,1
舒服,44
来,1708
下降时,2
其为,1
负且,1
谩骂,7
农商,1
痛击,1
值守,216
嘉玛,2
从考研,1
无所不在,1
生死关头,2
淡饭,4
心堵,1
力不从心,3
名失联,83
发财,36
技术性,3
公报,2
链条,484
不凡,2
徐家,1
直爽,1
刻上去,1
更让人,18
帮别人,2
刘君,2
三门峡,4
终于,126
坏空,6
基数,2
比如说,16
黄鸿平,1
悟出来,1
起源,3
绸之路,2
随架,15
蜘蛛侠,1
开,86
设计部,7
改正,1
两针,1
多场,33
造就,1
挺进,7
纸盒装,1
怎寄,2
散播,42
香味,3
更有甚者,9
比较,210
小组第一,15
少留,2
或迎,2
信鑫,2
害人,2
斗气,1
投产,3
